az	bedatum	javdatum	helyaz	szereloaz	munkaora	anyagar
560	2001.12.10	2001.12.14	331	2	1	5199
561	2001.10.29	2001.10.30	313	5	2	3449
562	2001.05.02	2001.05.02	434	2	1	927
563	2001.02.17	2001.02.17	111	6	2	2491
564	2001.07.08	2001.07.10	109	3	3	679
565	2002.01.10	2002.01.10	125	6	3	1002
566	2001.04.27	2001.04.27	115	1	3	5467
567	2001.03.02	2001.03.03	144	2	1	1963
568	2002.01.09	2002.01.13	382	2	3	4370
569	2001.12.03	2001.12.05	400	4	1	4179
570	2001.11.08	2001.11.12	117	5	3	605
571	2002.01.21	2002.01.25	226	4	1	3075
572	2001.05.08	2001.05.11	3	6	2	4303
573	2001.12.10	2001.12.10	176	6	1	2187
574	2001.10.09	2001.10.11	426	1	3	953
575	2001.06.16	2001.06.17	284	6	3	5186
576	2001.06.08	2001.06.09	483	6	1	3143
577	2001.06.22	2001.06.25	90	5	2	5484
578	2001.12.25	2001.12.27	254	4	2	3787
579	2001.01.19	2001.01.22	47	5	3	1178
580	2002.01.05	2002.01.06	413	4	2	2086
581	2001.07.27	2001.07.30	134	6	3	4744
582	2001.11.19	2001.11.22	254	4	1	3185
583	2001.07.25	2001.07.29	464	2	3	1357
584	2001.01.09	2001.01.12	276	4	1	4594
585	2001.05.25	2001.05.27	11	3	1	768
586	2001.11.16	2001.11.18	150	4	3	2856
587	2001.10.08	2001.10.12	137	5	2	3580
588	2001.01.07	2001.01.09	225	2	2	1306
589	2001.01.11	2001.01.15	236	3	1	4888
590	2001.01.18	2001.01.19	305	1	1	1484
591	2002.01.21	2002.01.21	114	3	1	1505
592	2001.04.16	2001.04.18	377	3	1	3303
593	2001.06.08	2001.06.10	186	1	2	3267
594	2001.04.10	2001.04.12	461	5	1	2070
595	2001.12.08	2001.12.12	250	3	3	3289
596	2001.03.22	2001.03.26	137	2	3	3586
597	2001.12.26	2001.12.26	252	4	2	4084
598	2001.06.05	2001.06.07	317	4	1	1413
599	2001.10.15	2001.10.16	361	1	2	1456
600	2001.01.29	2001.02.01	385	3	1	4884
601	2001.06.19	2001.06.21	334	3	2	3617
602	2001.11.14	2001.11.17	367	5	1	3412
603	2001.05.15	2001.05.15	313	4	3	1280
604	2002.01.25	2002.01.27	220	6	2	4822
605	2002.01.14	2002.01.18	255	2	1	795
606	2001.03.25	2001.03.25	136	4	3	4893
607	2001.08.19	2001.08.21	123	4	3	2598
608	2001.08.15	2001.08.16	263	6	2	2267
609	2001.03.03	2001.03.06	90	5	3	871
610	2001.01.07	2001.01.07	56	5	1	3207
611	2001.12.24	2001.12.26	310	6	3	2953
612	2001.02.03	2001.02.03	433	2	3	1694
613	2001.07.28	2001.07.28	187	4	3	3502
614	2001.10.29	2001.10.29	47	2	1	1409
615	2002.01.24	2002.01.24	40	4	3	3094
616	2001.09.18	2001.09.18	228	6	3	3751
617	2001.04.26	2001.04.30	12	2	3	777
618	2001.06.29	2001.06.29	241	1	3	1663
619	2001.11.16	2001.11.18	443	4	2	2385
620	2002.01.30	2002.02.01	195	6	1	1148
621	2001.03.31	2001.04.04	7	6	1	1829
622	2001.05.29	2001.05.29	90	4	1	4327
623	2001.10.25	2001.10.26	230	4	2	5217
624	2001.03.01	2001.03.04	261	4	1	5180
625	2001.01.06	2001.01.07	286	2	2	1639
626	2001.09.06	2001.09.09	5	6	1	4709
627	2001.07.08	2001.07.08	403	3	3	2069
628	2001.01.21	2001.01.21	28	4	2	3272
629	2001.06.17	2001.06.19	461	5	2	4759
630	2002.02.02	2002.02.02	242	3	1	4179
631	2001.07.31	2001.08.01	358	4	2	681
632	2001.04.30	2001.04.30	260	4	2	2823
633	2001.03.26	2001.03.30	294	2	3	3769
634	2001.03.08	2001.03.10	196	1	3	1430
635	2001.03.03	2001.03.07	110	1	3	4661
636	2001.05.07	2001.05.10	429	3	1	1816
